geo,Municipio,Eventos,Año
15664,San José De Pare,3,2023
15664,San José De Pare,1,2024
15664,San José De Pare,1,2025
15667,San Luis De Gaceno,2,2023
15667,San Luis De Gaceno,1,2024
15667,San Luis De Gaceno,1,2025
15673,San Mateo,4,2020
15673,San Mateo,1,2021
15673,San Mateo,2,2022
15673,San Mateo,3,2023
15673,San Mateo,5,2024
15673,San Mateo,1,2025
15676,San Miguel De Sema,1,2020
15676,San Miguel De Sema,1,2021
15676,San Miguel De Sema,1,2023
15676,San Miguel De Sema,5,2024
15681,San Pablo De Borbur,4,2020
15681,San Pablo De Borbur,3,2021
15681,San Pablo De Borbur,1,2023
15681,San Pablo De Borbur,2,2024
15681,San Pablo De Borbur,4,2025
15686,Santana,1,2020
15686,Santana,1,2021
15686,Santana,1,2023
15686,Santana,1,2024
15690,Santa María,1,2020
15690,Santa María,2,2021
15690,Santa María,3,2022
15690,Santa María,3,2023
15690,Santa María,1,2024
15690,Santa María,2,2025
15693,Santa Rosa De Viterbo,1,2021
15693,Santa Rosa De Viterbo,1,2022
15693,Santa Rosa De Viterbo,2,2023
15693,Santa Rosa De Viterbo,2,2024
15696,Santa Sofía,1,2023
15696,Santa Sofía,7,2024
15720,Sativanorte,4,2020
15720,Sativanorte,1,2021
15720,Sativanorte,2,2022
15720,Sativanorte,5,2023
15720,Sativanorte,1,2024
15720,Sativanorte,1,2025
15723,Sativasur,1,2020
15723,Sativasur,1,2021
15723,Sativasur,2,2022
15723,Sativasur,3,2023
15723,Sativasur,1,2025
15740,Siachoque,3,2020
15740,Siachoque,1,2023
15740,Siachoque,1,2024
15753,Soatá,2,2020
15753,Soatá,1,2021
15753,Soatá,3,2023
15753,Soatá,2,2024
15755,Socotá,5,2020
15755,Socotá,1,2021
15755,Socotá,1,2022
15755,Socotá,2,2023
15755,Socotá,3,2024
15755,Socotá,3,2025
15757,Socha,4,2020
15757,Socha,1,2021
15757,Socha,2,2023
15757,Socha,8,2024
15757,Socha,2,2025
15759,Sogamoso,8,2020
15759,Sogamoso,3,2021
15759,Sogamoso,5,2022
15759,Sogamoso,4,2023
15759,Sogamoso,37,2024
15759,Sogamoso,5,2025
15761,Somondoco,4,2020
15761,Somondoco,6,2023
15761,Somondoco,3,2024
15762,Sora,1,2020
15762,Sora,2,2021
15762,Sora,4,2024
15763,Sotaquirá,5,2020
15763,Sotaquirá,2,2021
15763,Sotaquirá,2,2022
15763,Sotaquirá,3,2023
15763,Sotaquirá,9,2024
15763,Sotaquirá,1,2025
15764,Soracá,1,2022
15764,Soracá,3,2024
15774,Susacón,1,2020
15774,Susacón,1,2021
15774,Susacón,1,2022
15774,Susacón,1,2023
15774,Susacón,3,2024
15776,Sutamarchàn,2,2020
15776,Sutamarchàn,2,2022
15776,Sutamarchàn,2,2023
15776,Sutamarchàn,6,2024
15778,Sutatenza,5,2020
15778,Sutatenza,4,2021
15778,Sutatenza,1,2022
15778,Sutatenza,2,2023
15778,Sutatenza,7,2024
15790,Tasco,2,2020
15790,Tasco,2,2021
15790,Tasco,1,2022
15790,Tasco,9,2024
15798,Tenza,1,2021
15798,Tenza,1,2022
15798,Tenza,1,2023
15798,Tenza,5,2024
15798,Tenza,1,2025
15804,Tibana,3,2020
15804,Tibana,2,2021
15804,Tibana,3,2022
15804,Tibana,1,2023
15804,Tibana,13,2024
15804,Tibana,2,2025
15806,Tibasosa,5,2020
15806,Tibasosa,2,2022
15806,Tibasosa,1,2023
15806,Tibasosa,10,2024
15806,Tibasosa,8,2025
15808,Tinjacá,1,2020
15808,Tinjacá,4,2023
15808,Tinjacá,4,2024
15808,Tinjacá,1,2025
15810,Tipacoque,1,2023
15810,Tipacoque,4,2024
15810,Tipacoque,1,2025
15814,Toca,2,2020
15814,Toca,1,2023
15814,Toca,4,2024
15814,Toca,2,2025
15816,Togüí,1,2020
15816,Togüí,1,2024
15820,Tópaga,5,2020
15820,Tópaga,3,2021
15820,Tópaga,2,2022
15820,Tópaga,3,2023
15820,Tópaga,5,2024
15820,Tópaga,2,2025
15822,Tota,2,2020
15822,Tota,7,2021
15822,Tota,2,2022
15822,Tota,4,2023
15822,Tota,6,2024
15822,Tota,3,2025
15832,Tununguá,1,2025
15835,Turmequé,3,2020
15835,Turmequé,2,2021
15835,Turmequé,2,2022
15835,Turmequé,1,2023
15835,Turmequé,4,2024
15835,Turmequé,1,2025
15837,Tuta,7,2020
15837,Tuta,1,2021
15837,Tuta,4,2023
15837,Tuta,8,2024
15837,Tuta,4,2025
15839,Tutazá,2,2021
15839,Tutazá,2,2023
15839,Tutazá,2,2024
15842,Umbita,1,2020
15842,Umbita,1,2022
15842,Umbita,2,2023
15842,Umbita,4,2024
15842,Umbita,1,2025
15861,Ventaquemada,2,2020
15861,Ventaquemada,2,2022
15861,Ventaquemada,2,2023
15861,Ventaquemada,2,2024
15861,Ventaquemada,3,2025
15879,Viracachá,1,2023
15879,Viracachá,3,2024
15897,Zetaquirá,2,2020
15897,Zetaquirá,1,2021
15897,Zetaquirá,2,2023
15897,Zetaquirá,3,2024
15897,Zetaquirá,1,2025
